ticker,signal,score,signal_date,entry_date,entry_price,exit_date,exit_price,result,pl_pct,sl_price,tp_price
MSTR,STRONG_BUY,0.8334,2024-03-13,2024-03-14,170.801,2024-03-14,160.5529,sl_hit,-6.0,160.5529,0.0
MSTR,STRONG_BUY,0.8491,2024-03-15,2024-03-18,171.845,2024-03-18,161.5343,sl_hit,-6.0,161.5343,0.0
VST,STRONG_BUY,0.8213,2024-03-08,2024-03-11,59.3134,2024-03-26,68.566,trailing_stop,15.6,55.7546,0.0
CRH,BUY,0.7519,2024-02-22,2024-02-23,76.9472,2024-04-01,83.3635,trailing_stop,8.34,74.0233,0.0
AXP,BUY,0.7956,2024-01-26,2024-01-29,197.5933,2024-04-04,218.8168,trailing_stop,10.74,189.6735,0.0
CMG,STRONG_BUY,0.8625,2024-02-08,2024-02-09,52.7396,2024-04-04,57.4556,trailing_stop,8.94,50.5007,0.0
TXRH,STRONG_BUY,0.8024,2024-02-16,2024-02-20,142.3789,2024-04-04,145.456,trailing_stop,2.16,134.9644,0.0
WDC,BUY,0.7889,2024-04-04,2024-04-05,55.0873,2024-04-08,55.0873,trailing_stop,0.0,51.782,0.0
OKLO,BUY,0.7734,2024-04-04,2024-04-05,13.16,2024-04-08,16.749,trailing_stop,27.27,12.419,0.0
HIG,BUY,0.7735,2024-03-15,2024-03-18,96.0464,2024-04-09,96.8271,trailing_stop,0.81,93.5184,0.0
PCAR,BUY,0.764,2024-03-15,2024-03-18,111.4645,2024-04-09,111.6846,trailing_stop,0.2,107.3267,0.0
MU,STRONG_BUY,0.8374,2024-04-01,2024-04-02,121.9065,2024-04-09,121.9065,trailing_stop,0.0,114.5921,0.0
WSM,BUY,0.7824,2024-03-13,2024-03-14,139.7308,2024-04-10,147.3922,trailing_stop,5.48,131.3469,0.0
ESAB,BUY,0.7641,2024-03-18,2024-03-19,101.2511,2024-04-10,109.9342,trailing_stop,8.58,97.0494,0.0
PNR,BUY,0.7537,2024-03-12,2024-03-13,80.044,2024-04-12,80.044,trailing_stop,0.0,77.1195,0.0
FIS,BUY,0.7604,2024-03-27,2024-03-28,71.1612,2024-04-12,68.5215,sl_hit,-3.71,68.5215,0.0
OWL,BUY,0.7953,2024-04-08,2024-04-09,17.8752,2024-04-12,16.9659,sl_hit,-5.09,16.9659,0.0
OKLO,BUY,0.7649,2024-04-09,2024-04-10,13.69,2024-04-12,12.8686,sl_hit,-6.0,12.8686,0.0
