date,balance,cash,stock_val,etf_val,sgov_val,n_stocks,etf_names
2023-11-21,6855.016556092081,3119.3455471044877,3325.3432000000003,410.327808987593,0.0,6,XLK
2023-11-22,6856.845712617356,3119.3455471044877,3325.3432000000003,412.1569655128681,0.0,6,XLK
2023-11-23,6856.845712617356,3119.3455471044877,3325.3432000000003,412.1569655128681,0.0,6,XLK
2023-11-24,6912.52099027844,4235.453826104487,2265.7132,411.3539641739529,0.0,4,XLK
2023-11-27,6912.49862996571,0.0,2265.7132,4646.78542996571,0.0,4,XLC+XLK
2023-11-28,6936.512278398404,709.07707476,1570.7440000000001,4656.691203638404,0.0,3,XLC+XLK
2023-11-29,6923.116430589655,709.07707476,1570.7440000000001,4643.295355829654,0.0,3,XLC+XLK
2023-11-30,6859.6487548661535,844.0270377126,1570.7440000000001,4444.877717153553,0.0,3,XLC+XLK
2023-12-01,6884.414926527807,34.80262652780717,6849.612300000001,0.0,0.0,10,-
2023-12-04,6868.557341327807,594.5744148,6239.1803,34.80262652780717,0.0,9,XLF+XLK
2023-12-05,6898.591066715199,165.43276671519965,6733.1583,0.0,0.0,10,-
2023-12-06,6851.2672693452,1101.2384693451995,5750.0288,0.0,0.0,9,-
2023-12-07,6851.2672693452005,12.218469345199537,6839.0488000000005,0.0,0.0,11,-
2023-12-08,6866.8514533452,852.3626533451995,6014.4888,0.0,0.0,10,-
2023-12-11,6895.8821653452,716.4178013785552,5750.0288,429.4355639666445,0.0,9,XLF+XLK
2023-12-12,6898.73475455763,20.69055455763015,6878.0442,0.0,0.0,11,-
2023-12-13,6898.73475455763,20.69055455763015,6878.0442,0.0,0.0,11,-
2023-12-14,6930.7151017776305,2283.0927017776303,4647.6224,0.0,0.0,8,-
2023-12-15,6906.9726904176305,1091.55609041763,5815.4166000000005,0.0,0.0,10,-
2023-12-18,6923.45024801763,72.55835760000002,5759.3358,1091.55609041763,0.0,10,XLK+XLRE
2023-12-19,6929.2604223953795,26.95760958755784,6426.1166,476.18621280782116,0.0,11,XLK
2023-12-20,7014.179348319462,2599.982552527558,3945.206,468.9907957919052,0.0,7,XLK
2023-12-21,6986.17374557692,2664.2109906075575,3847.7052000000003,474.257554969362,0.0,7,XLK
2023-12-22,6986.791887008011,1792.2351906075576,4719.6810000000005,474.87569640045353,0.0,8,XLK
2023-12-25,6986.791887008012,0.0,4719.6810000000005,2267.110887008011,0.0,8,XLK+XLRE
2023-12-26,7014.652381308281,887.58416682,3847.7052000000003,2279.363014488281,0.0,7,XLK+XLRE
2023-12-27,7068.61296640546,956.1384908199997,3827.9951,2284.47937558546,0.0,7,XLK+XLRE
2023-12-28,7075.893777323716,956.1384908199997,3827.9951,2291.7601865037154,0.0,7,XLK+XLRE
2023-12-29,7061.75767477368,956.1384908199997,3827.9951,2277.6240839536804,0.0,7,XLK+XLRE
2024-01-01,7061.75767477368,0.0,3827.9951,3233.76257477368,0.0,7,XLF+XLRE
2024-01-02,7067.055501513614,2127.8214795100002,1681.4072,3257.8268220036143,0.0,3,XLF+XLRE
2024-01-03,7038.3883238489125,1212.19996151,2627.8506,3198.337762338913,0.0,4,XLF+XLRE
2024-01-04,7037.872300396595,1212.19996151,2627.8506,3197.8217388865946,0.0,4,XLF+XLRE
2024-01-05,7079.632279095559,1253.13296951,2627.8506,3198.648709585559,0.0,4,XLF+XLRE
2024-01-08,7080.220303583872,544.16412,2048.9526,4487.103583583872,0.0,3,XLC+XLF
2024-01-09,7041.470941455797,1415.0057118,1160.6472,4465.818029655798,0.0,2,XLC+XLF
2024-01-10,7061.326800938317,730.0757117999999,1845.5772000000002,4485.6738891383175,0.0,3,XLC+XLF
2024-01-11,7045.460206478345,18.089826842184834,2743.3972000000003,4283.97317963616,0.0,4,XLC+XLF
2024-01-12,7047.474421562189,31.738474803084614,4140.8904,2874.8455467591043,0.0,6,XLC+XLF
