strategy,ticker,entry_date,exit_date,entry_price,exit_price,pl_pct,holding_days,allocated
V2-バランス(+ETF),XOM,2023-09-28,2023-10-04,110.16647630201668,103.5778,-5.98,5,930.11
V2-バランス(+ETF),FN,2023-09-29,2023-10-19,168.64999389648438,165.767,-1.71,15,930.39
V2-バランス(+ETF),VRT,2023-08-03,2023-10-20,33.9918915949006,36.8089,8.29,56,869.96
V2-バランス(+ETF),JBL,2023-09-29,2023-10-20,126.28899771759563,127.8857,1.26,16,930.39
V2-バランス(+ETF),AKAM,2023-08-10,2023-10-23,103.69999694824219,103.4822,-0.21,52,941.39
V2-バランス(+ETF),CRWD,2023-10-09,2023-10-26,176.5,171.8648,-2.63,14,917.24
V2-バランス(+ETF),SM,2023-10-20,2023-10-27,40.73535290544554,37.4765,-8.0,6,913.8
V2-バランス(+ETF),CBOE,2023-11-06,2023-12-14,167.12982586653354,171.2981,2.49,28,898.23
V2-バランス(+ETF),IT,2023-11-06,2023-12-21,387.80999755859375,441.7015,13.9,33,898.23
V2-バランス(+ETF),GDDY,2023-11-06,2024-01-03,85.05500030517578,101.92,19.83,40,898.23
V2-バランス(+ETF),BLD,2023-12-15,2024-01-03,374.6499938964844,352.2094,-5.99,12,907.55
V2-バランス(+ETF),CYTK,2023-12-22,2024-01-08,45.0,86.0189,91.15,10,931.4
V2-バランス(+ETF),C,2024-01-04,2024-01-16,50.58133043816251,47.9071,-5.29,8,951.75
V2-バランス(+ETF),FLEX,2024-01-04,2024-01-17,23.829999923706055,21.9236,-8.0,9,951.75
V2-バランス(+ETF),NRG,2023-11-03,2024-02-12,43.768184963058836,50.0679,14.39,68,898.23
V2-バランス(+ETF),ANET,2023-11-02,2024-02-13,53.064998626708984,64.4725,21.5,70,898.23
V2-バランス(+ETF),NTNX,2024-01-18,2024-02-13,53.16999816894531,53.7787,1.14,19,1086.21
V2-バランス(+ETF),MSTR,2024-02-13,2024-03-05,67.5,108.001,60.0,15,1118.07
V2-バランス(+ETF),AVAV,2024-03-06,2024-03-11,171.1999969482422,159.9362,-6.58,4,1278.68
V2-バランス(+ETF),AMD,2024-01-17,2024-03-12,158.4499969482422,195.7885,23.56,39,1101.47
V2-バランス(+ETF),ORCL,2024-03-13,2024-04-02,125.36202079763765,121.0274,-3.46,14,1312.76
V2-バランス(+ETF),PRAX,2024-01-09,2024-04-04,32.25,50.6668,57.11,60,1111.84
V2-バランス(+ETF),MTG,2024-03-12,2024-04-04,19.942102054214057,20.1343,0.96,17,1263.33
V2-バランス(+ETF),OKLO,2024-04-03,2024-04-08,12.720000267028809,13.71,7.78,4,1308.29
V2-バランス(+ETF),OKLO,2024-04-09,2024-04-09,16.600000381469727,15.272,-8.0,1,1449.17
V2-バランス(+ETF),LDOS,2024-02-14,2024-04-10,119.4149508817541,123.4231,3.36,39,1154.59
V2-バランス(+ETF),CDE,2024-04-10,2024-04-16,4.590000152587891,4.2228,-8.0,5,1427.39
V2-バランス(+ETF),MEDP,2024-02-14,2024-04-17,370.3999938964844,384.6892,3.86,44,1154.59
V2-バランス(+ETF),KMI,2024-04-22,2024-05-28,17.281706817450196,17.7546,2.74,26,1416.61
V2-バランス(+ETF),SMTC,2024-04-05,2024-06-06,32.84000015258789,38.7959,18.14,44,1427.69
V2-バランス(+ETF),CRS,2024-04-05,2024-06-10,75.88405981469245,101.0603,33.18,46,1427.69
V2-バランス(+ETF),NVDA,2024-05-29,2024-06-24,112.99235261607853,122.5308,8.44,18,1428.75
V2-バランス(+ETF),AGX,2024-04-17,2024-07-02,60.504622115711314,69.7264,15.24,53,1408.35
V2-バランス(+ETF),CRWD,2024-06-11,2024-07-17,372.8599853515625,354.4588,-4.94,25,1564.25
V2-バランス(+ETF),ALNY,2024-06-25,2024-07-18,221.3699951171875,237.1675,7.14,17,1583.35
V2-バランス(+ETF),DTM,2024-04-11,2024-07-30,60.035735446916085,68.7089,14.45,76,1433.11
V2-バランス(+ETF),LUMN,2024-07-31,2024-07-31,2.5899999141693115,2.3828,-8.0,1,1671.84
V2-バランス(+ETF),CFG,2024-07-18,2024-08-02,38.4485232405953,37.9393,-1.32,12,1611.64
V2-バランス(+ETF),LUMN,2024-08-01,2024-08-02,3.2699999809265137,3.1298,-4.29,2,1648.37
V2-バランス(+ETF),HALO,2024-06-07,2024-08-05,51.08000183105469,51.7875,1.39,40,1475.56
V2-バランス(+ETF),RKT,2024-08-05,2024-09-11,15.140940496844982,17.48,15.45,27,1633.11
V2-バランス(+ETF),TSN,2024-08-06,2024-09-11,59.02048801569459,59.7564,1.25,26,1633.44
V2-バランス(+ETF),VTR,2024-07-03,2024-09-19,49.5585051621097,59.4969,20.05,55,1628.81
V2-バランス(+ETF),DHI,2024-07-19,2024-10-04,171.0127855778459,181.9787,6.41,55,1632.39
V2-バランス(+ETF),OHI,2024-08-05,2024-10-04,32.579974637002245,35.6645,9.47,44,1633.11
V2-バランス(+ETF),IBM,2024-09-12,2024-10-24,201.9585778067364,212.345,5.14,31,1691.69
V2-バランス(+ETF),STRL,2024-09-20,2024-10-25,148.77000427246094,150.3838,1.08,26,1752.7
V2-バランス(+ETF),CPAY,2024-10-07,2024-10-29,329.5799865722656,333.7812,1.27,17,1801.0
V2-バランス(+ETF),LITE,2024-10-07,2024-10-31,67.94000244140625,63.1958,-6.98,19,1801.0
V2-バランス(+ETF),CVNA,2024-11-01,2024-11-04,247.30999755859375,226.49,-8.42,2,1799.5
V2-バランス(+ETF),APP,2024-09-12,2024-12-09,97.3499984741211,343.3648,252.71,62,1691.69
