Ticker,Trades,Wins,Losses,WinRate%,AvgPL%,TotalPL%,MaxWin%,MaxLoss%,SL_Hit,Trail_Stop,Timeout,STRONG_BUY,BUY
RBA,1,0,1,0.0,-4.95,-4.95,-4.95,-4.95,1,0,0,0,1
VRTX,1,0,1,0.0,-4.98,-4.98,-4.98,-4.98,1,0,0,0,1
OC,1,0,1,0.0,-5.08,-5.08,-5.08,-5.08,1,0,0,0,1
CHRW,1,0,1,0.0,-5.1,-5.1,-5.1,-5.1,1,0,0,1,0
RMBS,4,2,2,50.0,-1.28,-5.13,7.83,-8.0,2,1,0,3,1
WYNN,1,0,1,0.0,-5.13,-5.13,-5.13,-5.13,1,0,0,1,0
TMUS,2,1,1,50.0,-2.58,-5.17,0.94,-6.11,1,0,0,0,2
RTX,1,0,1,0.0,-5.17,-5.17,-5.17,-5.17,1,0,0,0,1
OWL,1,0,1,0.0,-5.18,-5.18,-5.18,-5.18,1,0,0,0,1
GKOS,1,0,1,0.0,-5.31,-5.31,-5.31,-5.31,1,0,0,0,1
FLEX,1,0,1,0.0,-5.47,-5.47,-5.47,-5.47,1,0,0,0,1
MIDD,1,0,1,0.0,-5.56,-5.56,-5.56,-5.56,1,0,0,0,1
SO,2,0,2,0.0,-2.79,-5.57,-2.16,-3.41,2,0,0,1,1
SNOW,1,0,1,0.0,-5.57,-5.57,-5.57,-5.57,1,0,0,1,0
FN,1,0,1,0.0,-5.69,-5.69,-5.69,-5.69,1,0,0,0,1
PFGC,1,0,1,0.0,-5.81,-5.81,-5.81,-5.81,1,0,0,0,1
WDAY,2,1,1,50.0,-2.91,-5.82,2.18,-8.0,1,0,0,0,2
CMC,1,0,1,0.0,-5.82,-5.82,-5.82,-5.82,1,0,0,0,1
TIGO,1,0,1,0.0,-5.83,-5.83,-5.83,-5.83,1,0,0,1,0
CVNA,2,1,1,50.0,-2.92,-5.85,2.15,-8.0,1,1,0,2,0
DKS,1,0,1,0.0,-5.93,-5.93,-5.93,-5.93,1,0,0,0,1
